TECNOLOGIA INSTALADA,INSTITUCION,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,ESTATUS,CODIGO POSTAL
3.0,20.0,74.0,107.0,10.0,75.0,35.0,3843.0,2.0,49710.0
0.0,20.0,79.0,103.0,10.0,98.0,13.0,1405.0,1.0,49250.0
0.0,20.0,74.0,103.0,2.0,40.0,346.0,4595.0,0.0,44930.0
0.0,20.0,74.0,83.0,10.0,114.0,1000.0,876.0,0.0,49800.0
0.0,20.0,79.0,103.0,6.0,42.0,520.0,3461.0,1.0,46260.0
0.0,20.0,74.0,103.0,2.0,127.0,1034.0,4287.0,0.0,45640.0
1.0,22.0,74.0,103.0,12.0,91.0,933.0,802.0,2.0,49650.0
0.0,20.0,74.0,103.0,1.0,76.0,793.0,3558.0,0.0,47190.0
0.0,20.0,74.0,103.0,10.0,128.0,1036.0,3111.0,0.0,49610.0
0.0,20.0,74.0,97.0,2.0,107.0,987.0,763.0,0.0,45402.0
0.0,20.0,74.0,97.0,12.0,91.0,876.0,2244.0,1.0,49650.0
1.0,20.0,74.0,103.0,2.0,104.0,983.0,2748.0,2.0,45590.0
0.0,20.0,79.0,103.0,1.0,0.0,4.0,4643.0,0.0,45470.0
0.0,22.0,74.0,103.0,2.0,132.0,920.0,2464.0,1.0,45430.0
0.0,20.0,74.0,103.0,5.0,17.0,554.0,221.0,0.0,48940.0
0.0,20.0,74.0,97.0,6.0,15.0,108.0,1405.0,1.0,46130.0
1.0,14.0,74.0,103.0,12.0,25.0,346.0,1118.0,2.0,45400.0
0.0,22.0,74.0,103.0,3.0,10.0,485.0,3514.0,1.0,47750.0
1.0,20.0,74.0,103.0,4.0,106.0,986.0,2323.0,2.0,48450.0
1.0,23.0,74.0,29.0,12.0,59.0,346.0,2852.0,2.0,45400.0
0.0,20.0,74.0,97.0,13.0,101.0,973.0,2737.0,0.0,46760.0
0.0,20.0,74.0,103.0,2.0,1.0,813.0,458.0,1.0,45700.0
0.0,20.0,79.0,97.0,2.0,107.0,987.0,2244.0,1.0,45400.0
0.0,20.0,79.0,103.0,10.0,114.0,1000.0,411.0,1.0,49800.0
1.0,20.0,74.0,107.0,8.0,33.0,237.0,3013.0,2.0,48740.0
0.0,20.0,74.0,97.0,2.0,104.0,983.0,4074.0,0.0,45638.0
1.0,22.0,74.0,103.0,0.0,116.0,1005.0,1230.0,2.0,48800.0
3.0,20.0,79.0,107.0,2.0,120.0,49.0,2412.0,2.0,45745.0
