CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
1405322E,INALAMBRICA,2 MB,SEJ,PEDRO MORENO,MATUTINO,SECUNDARIA,SUR,SAN GABRIEL,APANGO,PORFIRIO DIAZ S/N,49710,-103.7115472,19.7825444,SUSPENDIDO
1405225E, iMAX,2 MB,SEJ,VICENTE GUERRERO,VESPERTINO,PRIMARIA,SUR,TEOCUITATLAN DE CORONA,AGUA HONDA,CONOCIDO,49250,-103.3862611,20.1350306,SIN SERVICIO
1408861J, iMAX,2 MB,SEJ,RAMON G BONFIL,MATUTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,VASCO UÑEZ DE BALBOA 2699 ENTRE FRANCISCO VAZQUEZ CORONADO Y PEDRO MORENO ,44930,-103.374,20.74,ACTIVO
1405004F, iMAX,2 MB,SEJ,USAER TUXPAN,MATUTINO,ESPECIAL,SUR,TUXPAN,TUXPAN,AVENIDA TIZATIRLA 37,49800,-103.3759833,19.5545,ACTIVO
1401476H, iMAX,2 MB,SEJ,JOSE MA MORELOS Y PAVON,VESPERTINO,PRIMARIA,NORTE,HUEJUCAR,LAS CA_AS,MORELOS 23,46260,-103.3429333,22.3079917,SIN SERVICIO
1409836H, iMAX,2 MB,SEJ,15 DE MAYO,MATUTINO,PRIMARIA,CENTRO,ZAPOPAN,ZAPOPAN,ROSAL 976 COL .LOS TULIPANES,45640,-103.4340556,20.5856944,ACTIVO
SSJ_438,ADSL,2 MB,SSJ,OFICINAS ADMINISTRATIVAS,N/D,N/D,SURESTE,TAMAZULA DE GORDIANO,TAMAZULA DE GORDIANO,AVENIDA JOSE MARIA MARTINEZ # 1490,49650,-103.241369,19.689354,SUSPENDIDO
1402643X, iMAX,2 MB,SEJ,AMADO ERVO,MATUTINO,PRIMARIA,ALTOS SUR,SAN IGNACIO CERRO GORDO,SAN IGNACIO CERRO GORDO,NIÑOS HEROES 180 ,47190,-102.5291667,20.7472222,ACTIVO
1405127A, iMAX,2 MB,SEJ,MANUEL LOPEZ COTILLA,MATUTINO,PRIMARIA,SUR,ZAPOTILTIC,ZAPOTILTIC,LOPEZ COTILLA 2,49610,-103.4452222,19.6363444,ACTIVO
1410767J, iMAX,2 MB,SEJ,TLAMACHTILKALLI,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,AVENIDA DEL CARRIL 895,45402,-103.2460556,20.5955556,ACTIVO
1404418K, iMAX,2 MB,SEJ,JOSE CLEMENTE OROZCO,MATUTINO,PREESCOLAR,SURESTE,TAMAZULA DE GORDIANO,SAN VICENTE (VICENTE GUERRERO),HIDALGO,49650,-103.2507028,19.6489417,SIN SERVICIO
1410545G,ADSL,10 MB,SEJ,EMILIANO ZAPATA,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,JUAN DIEGO 72,45590,-103.3474361,20.5974639,SUSPENDIDO
1402580D, iMAX,2 MB,SEJ,MOCTEZUMA XOCOYOTZIN,VESPERTINO,PRIMARIA,ALTOS SUR,ACATIC,ACATIC,VICENTE GUERRERO 420 ,45470,-102.9077,20.788,ACTIVO
SSJ_655, iMAX,2 MB,SSJ,SAUCILLO DE MALDONADO,N/D,N/D,CENTRO,ZAPOTLANEJO,SAUCILLO DE MALDONADO (EL SAUCILLO),INDEPENDENCIA O.81,45430,-102.9245833,20.5578056,SIN SERVICIO
1405793E, iMAX,2 MB,SEJ,AGUSTIN MELGAR,MATUTINO,PRIMARIA,COSTA SUR,CASIMIRO CASTILLO,LO ARADO,AGUSTIN MELGAR 96,48940,-104.5361389,19.6210194,ACTIVO
1411389B, iMAX,2 MB,SEJ,CAÑON DE TLAXCALA,MATUTINO,PREESCOLAR,NORTE,BOLAÑOS,CA_ON DE TLAXCALA,CONOCIDO,46130,-103.9696167,21.8180111,SIN SERVICIO
135IJJ,ADSL,2 MB,IJJ,ESPACIO PODER JOVEN CONCEPCION DE BUENOS AIRES,N/D,N/D,SURESTE,CONCEPCION DE BUENOS AIRES,N/D,"CALLE VALLARTA # 7, CONCEPCION DE BUENOS AIRES, JALISCO.",N/D,103¡15'36.41, 19¡58'45.87 ,SUSPENDIDO
SSJ_045, iMAX,2 MB,SSJ,LA PURISIMA,N/D,N/D,CIENEGA,ATOTONILCO EL ALTO,LA PURISIMA,NICANDRA VAZQUEZ S/N,47750,-102.4647222,20.6058333,SIN SERVICIO
1406386F,ADSL,2 MB,SEJ,AGUSTIN FLORES,MATUTINO,PRIMARIA,COSTA ORTE,TOMATLAN,TOMATLAN,HIDALGO 46,48450,-105.2451861,19.942225,SUSPENDIDO
UDG_25,ADSL,10 MB,UDG,ESC. PREPA. MODULO MAZAMITLA,N/D,ESC. PREPA. MODULO MAZAMITLA,SURESTE,MAZAMITLA,N/D,JUAREZ O.8. ENTRE GUILLERMO PRIETO Y JOSE S. CENT,N/D,-103.020722,19.914472,SUSPENDIDO
1407400F, iMAX,2 MB,SEJ,JUSTO SIERRA,MATUTINO,PREESCOLAR,VALLES,TEUCHITLAN,TEUCHITLAN,JUAN CUEVAS 15,46760,-103.8481917,20.6872722,ACTIVO
1408903G, iMAX,2 MB,SEJ,AQUILES SERDAN,MATUTINO,PRIMARIA,CENTRO,ACATLAN DE JUAREZ,SAN JOSE DE LOS POZOS (LOS POZOS),AQUILES SERDAN 93,45700,-103.5707111,20.350575,SIN SERVICIO
1410828G, iMAX,2 MB,SEJ,RAFAEL RAMIREZ CASTAÑEDA,VESPERTINO,PREESCOLAR,CENTRO,TONALA,TONALA,HIDALGO,45400,-103.2694444,20.6622222,SIN SERVICIO
1404996B, iMAX,2 MB,SEJ,MANUEL LOPEZ COTILLA,VESPERTINO,PRIMARIA,SUR,TUXPAN,TUXPAN,ANGEL CENICEROS,49800,-103.3745583,19.5611361,SIN SERVICIO
1405414A,ADSL,2 MB,SEJ,JAIME TORRES BODET,MATUTINO,SECUNDARIA,SIERRA DE AMULA,EL GRULLO,EL GRULLO,LEONA VICARIO ¼ 306 COL. CENTRO,48740,-104.2246417,19.8118111,SUSPENDIDO
1410631A, iMAX,2 MB,SEJ,IRENE ROBLEDO,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,PUESTA DEL SOL,45638,-103.2565556,20.5923333,ACTIVO
JCSSA006576,ADSL,2 MB,SSJ,MODULO UNION DE SAN ANTONIO,N/D,N/D,ALTOS ORTE,UNIîN DE SAN ANTONIO,UNION DE SAN ANTONIO,CARR. LAGOS LA UNION,48800,-102.005,21.1283333,SUSPENDIDO
1409146C,INALAMBRICA,2 MB,SEJ,AGUSTIN YAÑEZ DELGADILLO,VESPERTINO,SECUNDARIA,CENTRO,VILLA CORONA,ATOTONILCO EL BAJO,IGUALDAD O. 43-A,45745,-103.6715472,20.350575,SUSPENDIDO
